Date,Close/Last,Volume,Open,High,Low
03/21/2025,$46.77,17062760,$46.00,$46.96,$45.36
03/20/2025,$46.95,6816765,$46.72,$47.44,$46.58
03/19/2025,$47.75,11359460,$46.01,$47.97,$46.00
03/18/2025,$45.92,13906950,$46.04,$46.44,$44.94
03/17/2025,$46.89,12570540,$45.80,$47.04,$45.70
03/14/2025,$46.75,16680760,$44.78,$46.76,$44.18
03/13/2025,$43.92,16240570,$45.35,$46.12,$42.84
03/12/2025,$45.30,16767690,$46.94,$47.40,$44.13
03/11/2025,$46.68,31482520,$48.42,$49.28,$45.83
03/10/2025,$50.33,20260900,$51.63,$51.63,$48.40
03/07/2025,$53.28,15670580,$54.01,$54.3399,$51.13
03/06/2025,$54.96,10669270,$55.74,$56.94,$54.55
03/05/2025,$56.77,8741456,$55.065,$57.10,$54.5856
03/04/2025,$54.69,17873670,$56.66,$56.88,$53.83
03/03/2025,$58.45,7966082,$60.11,$60.63,$57.63
02/28/2025,$60.12,8627778,$59.80,$60.59,$59.05
02/27/2025,$59.75,7326162,$61.86,$62.1085,$59.425
02/26/2025,$61.70,5474264,$62.20,$63.44,$61.63
02/25/2025,$61.79,9713077,$61.55,$62.22,$59.82
02/24/2025,$61.49,11226680,$61.33,$62.29,$60.24
02/21/2025,$60.00,12798780,$63.95,$64.31,$59.62
02/20/2025,$63.75,8671643,$65.10,$65.49,$62.51
02/19/2025,$65.04,7614198,$63.95,$65.90,$63.8244
02/18/2025,$64.34,6876166,$64.78,$66.13,$64.02
02/14/2025,$65.39,6049823,$64.35,$65.53,$63.90
02/13/2025,$64.06,12609630,$66.48,$66.82,$61.21
02/12/2025,$66.33,7642272,$64.94,$66.42,$64.605
02/11/2025,$64.75,7899049,$65.66,$65.90,$64.08
02/10/2025,$66.19,6825708,$67.85,$67.905,$65.84
02/07/2025,$68.14,5314346,$68.19,$68.75,$67.47
02/06/2025,$67.92,6000404,$69.15,$69.36,$67.26
02/05/2025,$69.06,5467280,$68.70,$69.45,$68.02
02/04/2025,$69.06,7789195,$67.30,$69.12,$66.54
02/03/2025,$66.48,5711799,$65.14,$67.05,$64.9721
01/31/2025,$67.27,4491343,$68.81,$69.22,$67.20
01/30/2025,$68.57,6381403,$68.00,$69.095,$67.80
01/29/2025,$68.43,4841297,$68.31,$68.53,$67.58
01/28/2025,$67.65,5175886,$67.63,$67.72,$66.27
01/27/2025,$67.77,4157853,$66.33,$68.275,$66.0471
01/24/2025,$67.18,5186714,$67.38,$67.95,$66.691
01/23/2025,$67.45,8116274,$68.19,$68.658,$67.185
01/22/2025,$67.78,11612610,$69.77,$69.98,$67.20
01/21/2025,$68.34,11875220,$66.76,$68.51,$66.76
01/17/2025,$65.82,5978003,$66.70,$67.00,$65.64
01/16/2025,$66.18,6427017,$65.44,$66.43,$64.84
01/15/2025,$65.50,8808567,$67.13,$67.28,$65.11
01/14/2025,$66.29,6989801,$66.50,$66.72,$65.3497
01/13/2025,$65.10,12375520,$66.31,$66.405,$63.33
01/10/2025,$66.95,27227200,$64.99,$68.99,$64.5101
01/08/2025,$61.42,9062428,$60.95,$61.86,$59.89
01/07/2025,$61.18,9074209,$60.30,$61.58,$59.95
01/06/2025,$60.04,9652925,$60.30,$60.95,$59.61
01/03/2025,$59.00,9206963,$59.02,$59.10,$56.73
01/02/2025,$59.07,8643608,$60.27,$60.77,$58.60
12/31/2024,$60.50,4326488,$60.56,$61.11,$60.09
12/30/2024,$60.72,5153493,$60.17,$61.184,$59.36
12/27/2024,$61.26,7175435,$61.99,$62.39,$61.05
12/26/2024,$62.40,4478333,$62.00,$62.85,$61.71
12/24/2024,$62.56,3218411,$61.41,$62.95,$61.267
12/23/2024,$61.52,7196445,$60.60,$61.56,$59.89
12/20/2024,$60.93,13918620,$59.83,$61.84,$59.83
12/19/2024,$60.38,9403329,$59.69,$60.61,$58.87
12/18/2024,$58.88,8171812,$60.98,$61.98,$58.31
12/17/2024,$60.81,5537803,$60.84,$61.29,$60.45
12/16/2024,$61.05,6105166,$61.42,$61.81,$60.54
12/13/2024,$61.52,5835554,$62.29,$62.29,$60.94
12/12/2024,$61.63,8166426,$63.60,$63.79,$61.39
12/11/2024,$63.48,7100322,$62.98,$63.98,$62.67
12/10/2024,$62.77,6552624,$63.68,$64.25,$62.34
12/09/2024,$62.26,6331669,$64.47,$64.86,$62.20
12/06/2024,$64.53,8635300,$66.98,$67.1109,$64.17
12/05/2024,$65.77,9380137,$66.64,$67.50,$65.35
12/04/2024,$64.26,5301203,$62.92,$64.27,$62.77
12/03/2024,$62.57,5337566,$63.41,$63.53,$62.07
12/02/2024,$63.41,6299594,$64.00,$64.23,$63.16
11/29/2024,$63.82,3111351,$63.65,$64.08,$63.559
11/27/2024,$63.62,5557391,$64.07,$64.40,$63.23
11/26/2024,$64.14,5499626,$64.86,$65.9437,$63.985
11/25/2024,$64.49,7901271,$64.33,$65.18,$63.97
11/22/2024,$63.34,6625374,$63.45,$63.615,$62.90
11/21/2024,$63.34,9931515,$64.70,$65.05,$63.29
11/20/2024,$63.64,10922890,$64.10,$65.05,$61.66
11/19/2024,$64.75,9800398,$61.69,$65.16,$61.2909
11/18/2024,$63.24,6632730,$64.08,$64.08,$62.38
11/15/2024,$64.07,9852574,$65.44,$65.84,$63.86
11/14/2024,$64.85,7311828,$65.02,$66.25,$64.6151
11/13/2024,$64.46,8528921,$64.26,$65.74,$64.01
11/12/2024,$64.05,6598717,$63.20,$64.11,$62.81
11/11/2024,$63.56,8087430,$61.08,$63.835,$60.83
11/08/2024,$61.05,4646339,$60.91,$61.71,$60.50
11/07/2024,$60.43,7399970,$61.65,$62.4749,$60.41
11/06/2024,$62.32,16683600,$60.50,$62.66,$60.33
11/05/2024,$58.29,5390568,$57.09,$58.63,$57.08
11/04/2024,$56.89,7959832,$57.82,$58.12,$56.81
11/01/2024,$58.39,9588383,$57.49,$59.1869,$57.49
10/31/2024,$57.22,7749424,$58.30,$59.09,$57.10
10/30/2024,$58.46,11088960,$57.12,$59.07,$57.12
10/29/2024,$57.34,9524056,$54.70,$57.37,$54.60
10/28/2024,$55.38,10898800,$55.50,$56.64,$55.36
10/25/2024,$54.12,5982881,$55.00,$55.265,$53.8701
10/24/2024,$54.77,5724629,$55.28,$55.76,$54.115
10/23/2024,$54.65,6624048,$54.39,$55.09,$54.2372
10/22/2024,$54.80,5701359,$55.08,$55.22,$54.17
10/21/2024,$55.10,6869410,$54.68,$55.21,$54.45
10/18/2024,$55.80,8222110,$55.55,$56.235,$54.86
10/17/2024,$55.26,8349868,$55.50,$56.05,$55.06
10/16/2024,$56.31,18957850,$53.25,$56.4825,$53.20
10/15/2024,$52.73,9175445,$53.84,$54.29,$52.55
10/14/2024,$53.18,9581403,$51.35,$53.37,$51.0718
10/11/2024,$51.33,8037189,$49.97,$51.52,$49.44
10/10/2024,$50.29,16893670,$50.51,$51.50,$49.29
10/09/2024,$50.98,9670500,$50.80,$51.88,$50.62
10/08/2024,$50.62,8425775,$49.93,$51.20,$49.90
10/07/2024,$49.47,7103368,$49.07,$49.675,$48.91
10/04/2024,$49.28,8581150,$49.07,$49.65,$48.35
10/03/2024,$47.46,9561805,$48.42,$48.5003,$46.90
10/02/2024,$48.40,8141960,$49.38,$49.38,$48.195
10/01/2024,$49.96,10546020,$50.80,$50.98,$49.08
09/30/2024,$50.79,8086033,$51.46,$51.61,$50.2658
09/27/2024,$51.54,10931300,$52.015,$52.45,$51.21
09/26/2024,$51.81,17920430,$50.00,$51.99,$49.66
09/25/2024,$48.75,9203392,$47.98,$49.19,$47.96
09/24/2024,$47.80,6652704,$47.37,$47.89,$46.87
09/23/2024,$47.16,5449640,$46.865,$47.43,$46.5001
09/20/2024,$46.94,9728430,$47.055,$47.16,$46.52
09/19/2024,$47.13,6676792,$47.69,$47.80,$46.87
09/18/2024,$46.92,7584019,$46.81,$47.97,$46.454
